Time (h),OD 600,Product (kg),Time (h).1,DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h).2,Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
,,,12.42,19.5,0.84,0.08,14.14,70.48,7.62,39.67,222.6,0.12,57.85,,,,,,
,,,12.43,20.04,0.95,0.09,10.15,56.01,10.21,35.51,274.6,0.1,59.09,,,,,,
,,,12.45,18.73,0.89,0.09,9.11,67.61,7.75,43.81,176.22,0.11,61.29,,,,,,
,,,12.47,21.04,1.06,0.12,11.15,58.38,6.69,35.06,250.69,0.07,80.63,,,,,,
,,,12.48,18.85,0.88,0.15,8.04,52.46,8.39,46.46,248.66,0.09,50.75,,,,,,
,,,12.5,19.56,1.32,0.27,11.63,79.38,8.18,42.29,202.12,0.1,72.03,,,,,,
,,,12.52,14.96,1.19,0.23,10.32,72.41,7.42,50.1,207.29,0.11,82.75,,,,,,
,,,12.53,14.41,1.01,0.23,9.66,61.71,6.86,35.18,303.04,0.09,70.02,,,,,,
,,,12.55,16.07,1.17,0.32,10.26,72.28,5.12,39.94,254.99,0.12,66.43,,,,,,
,,,12.57,21.42,0.96,0.15,9.34,78.73,8.15,39.57,357.49,0.11,65.59,,,,,,
,,,12.58,18.52,0.66,0.21,10.05,75.29,7.4,32.91,208.75,0.1,69.09,,,,,,
,,,12.6,19.19,1.49,0.2,9.02,66.6,6.96,35.4,270.46,0.09,77.62,,,,,,
,,,12.62,16.69,0.98,0.22,12.28,61.14,6.54,36.67,255.63,0.12,63.12,,,,,,
,,,12.63,23.84,1.02,0.22,11.99,69.51,7.65,39.82,222.85,0.12,54.22,,,,,,
,,,12.65,17.74,0.91,0.2,14.21,77.73,4.59,38.57,257.2,0.1,72.43,,,,,,
,,,12.67,12.24,1.18,0.19,12.73,53.97,7.6,40.04,206.78,0.11,55.63,,,,,,
,,,12.68,20.01,0.93,0.19,11.05,64.78,4.68,43.44,294.22,0.08,72.84,,,,,,
,,,12.7,23.1,1.07,0.2,10.71,71.28,7.14,34.58,276.76,0.11,62.62,,,,,,
,,,12.72,18.05,1.09,0.22,8.94,62.61,7.3,34.79,166.67,0.1,47.96,,,,,,
,,,12.73,19.79,0.9,0.23,9.54,63.06,6.05,40.79,198.65,0.12,74.37,,,,,,
,,,12.75,19.16,1.01,0.18,10.77,69.5,9.19,31.56,167.09,0.12,71.73,,,,,,
,,,12.77,17.53,1.09,0.18,9.74,75.16,7.0,39.56,256.88,0.1,67.53,,,,,,
,,,12.78,17.43,1.09,0.2,12.43,71.77,6.97,44.62,199.7,0.13,68.0,,,,,,
,,,12.8,20.12,1.0,0.21,9.91,73.56,6.81,28.02,266.01,0.1,53.57,,,,,,
,,,12.82,20.4,0.78,0.17,11.52,56.71,6.74,35.81,298.45,0.09,65.66,,,,,,
,,,12.83,18.71,1.02,0.19,9.14,59.4,8.01,39.55,249.62,0.1,57.35,,,,,,
,,,12.85,23.09,0.9,0.23,10.41,65.16,6.85,34.44,234.36,0.14,48.02,,,,,,
,,,12.87,15.91,0.77,0.21,10.87,67.81,7.13,40.25,254.67,0.14,73.8,,,,,,
,,,12.88,19.26,1.17,0.21,8.2,70.73,6.69,37.25,194.49,0.11,71.37,,,,,,
,,,12.9,19.88,1.15,0.22,11.81,63.42,8.05,41.88,227.51,0.11,69.8,,,,,,
,,,12.92,22.73,0.9,0.19,12.07,60.56,7.31,31.96,323.57,0.08,58.91,,,,,,
,,,12.93,16.36,0.78,0.21,11.15,69.0,7.67,39.59,289.56,0.11,80.66,,,,,,
,,,12.95,25.66,0.99,0.18,11.39,61.28,7.02,33.0,246.85,0.09,54.15,,,,,,
,,,12.97,18.93,1.41,0.29,9.58,73.62,7.47,38.13,233.31,0.14,65.42,,,,,,
,,,12.98,24.84,0.9,0.31,10.62,67.29,6.55,41.71,280.14,0.1,72.03,,,,,,
,,,13.0,21.9,0.88,0.32,9.09,78.9,8.06,41.51,292.75,0.13,81.48,,,,,,
,,,13.02,19.64,0.91,0.24,14.38,70.84,6.23,36.89,235.46,0.11,68.3,,,,,,
,,,13.03,23.03,0.83,0.25,13.15,65.11,6.55,33.74,224.96,0.19,86.27,,,,,,
,,,13.05,21.51,1.01,0.36,11.46,57.44,8.02,36.46,210.27,0.14,58.85,,,,,,
,,,13.07,14.43,1.13,0.31,14.82,59.27,6.27,40.1,264.56,0.12,64.73,,,,,,
,,,13.08,15.94,0.92,0.29,12.6,58.19,9.6,40.83,331.41,0.09,67.43,,,,,,
,,,13.1,21.1,0.98,0.29,9.84,69.88,6.49,24.82,206.41,0.12,66.33,,,,,,
,,,13.12,21.68,1.35,0.21,14.34,63.36,5.72,37.39,200.08,0.13,73.09,,,,,,
,,,13.13,18.69,1.06,0.31,12.25,80.53,7.46,41.59,268.76,0.12,70.69,,,,,,
,,,13.15,21.61,0.94,0.29,14.33,61.47,6.78,40.75,245.5,0.12,59.04,,,,,,
,,,13.17,17.78,1.08,0.29,14.41,74.62,7.66,40.05,317.8,0.13,68.6,,,,,,
,,,13.18,21.67,1.3,0.29,10.99,62.97,8.5,40.82,191.42,0.11,64.45,,,,,,
,,,13.2,24.08,1.12,0.31,14.1,71.16,5.02,32.55,229.27,0.09,78.12,,,,,,
,,,13.22,16.82,1.3,0.22,12.97,66.2,6.9,29.77,221.02,0.14,67.47,,,,,,
,,,13.23,17.5,0.9,0.35,12.48,74.74,6.73,30.25,207.13,0.12,63.0,,,,,,
,,,13.25,27.04,1.11,0.31,12.8,59.81,7.94,28.82,266.57,0.11,77.1,,,,,,
,,,13.27,20.67,1.03,0.3,12.29,50.38,9.68,37.79,262.47,0.12,79.39,,,,,,
,,,13.28,17.23,1.08,0.27,11.29,56.88,7.55,40.99,249.32,0.12,72.29,,,,,,
,,,13.3,23.33,0.89,0.37,13.79,64.93,6.73,26.23,238.21,0.11,62.58,,,,,,
,,,13.32,25.05,1.07,0.26,13.71,78.17,6.65,39.31,295.35,0.15,65.57,,,,,,
,,,13.33,19.69,1.17,0.36,12.67,66.2,7.31,27.58,246.71,0.13,53.97,,,,,,
,,,13.35,21.43,0.95,0.26,13.96,64.46,6.1,43.69,216.01,0.14,72.54,,,,,,
,,,13.37,19.68,1.15,0.31,12.9,65.04,5.17,38.42,229.55,0.13,74.38,,,,,,
,,,13.38,18.45,1.36,0.27,10.55,53.28,7.65,40.56,226.77,0.15,80.25,,,,,,
,,,13.4,24.03,1.06,0.3,9.83,74.91,6.83,41.53,315.21,0.14,78.22,,,,,,
,,,13.42,18.15,0.85,0.34,12.05,68.12,6.59,30.69,241.69,0.13,69.52,,,,,,
,,,13.43,22.37,0.92,0.3,12.37,50.36,7.43,39.91,224.38,0.11,95.22,,,,,,
,,,13.45,17.98,1.28,0.41,15.64,68.2,6.77,40.05,271.97,0.15,63.69,,,,,,
,,,13.47,24.14,0.89,0.34,13.2,64.39,7.05,28.6,214.32,0.15,72.9,,,,,,
,,,13.48,20.9,1.16,0.41,12.95,65.93,7.36,32.45,273.63,0.16,51.97,,,,,,
,,,13.5,19.51,1.41,0.45,17.6,79.99,5.45,35.86,202.33,0.15,86.63,,,,,,
,,,13.52,20.02,1.05,0.36,17.31,57.83,6.12,34.22,241.71,0.13,66.35,,,,,,
,,,13.53,19.17,1.17,0.46,13.94,80.24,7.78,39.47,268.56,0.14,62.73,,,,,,
,,,13.55,20.37,1.21,0.47,13.25,70.39,7.51,33.49,285.31,0.08,79.82,,,,,,
,,,13.57,19.82,1.29,0.46,14.75,56.11,8.94,42.57,265.3,0.14,85.81,,,,,,
,,,13.58,16.24,0.93,0.43,18.01,72.48,7.69,33.21,278.37,0.14,64.36,,,,,,
,,,13.6,19.35,0.98,0.43,15.79,59.06,5.8,26.31,223.25,0.15,86.4,,,,,,
,,,13.62,19.0,0.93,0.37,14.99,70.3,7.4,37.53,183.56,0.18,73.27,,,,,,
,,,13.63,18.26,1.2,0.45,18.49,55.52,6.32,33.71,284.94,0.19,63.09,,,,,,
,,,13.65,17.65,1.09,0.29,16.42,68.69,8.88,35.66,270.96,0.21,75.3,,,,,,
,,,13.67,14.9,1.22,0.36,18.54,59.48,6.34,35.27,260.8,0.19,71.49,,,,,,
,,,13.68,18.6,1.23,0.46,18.06,69.82,8.39,33.22,198.29,0.19,44.03,,,,,,
,,,13.7,18.65,1.17,0.45,14.02,68.99,6.18,35.72,294.56,0.15,61.43,,,,,,
,,,13.72,17.33,1.41,0.36,17.19,72.83,7.46,48.41,306.0,0.17,58.84,,,,,,
,,,13.73,20.21,1.23,0.3,17.08,58.45,6.27,43.41,355.97,0.16,59.67,,,,,,
,,,13.75,17.12,1.45,0.38,14.2,79.35,5.03,43.44,268.79,0.14,64.96,,,,,,
,,,13.77,18.04,1.07,0.4,13.51,61.59,6.05,45.89,246.5,0.18,91.06,,,,,,
,,,13.78,14.93,1.38,0.34,14.94,61.0,7.18,37.53,238.8,0.13,66.18,,,,,,
,,,13.8,17.14,1.11,0.36,16.19,62.2,6.76,39.95,263.94,0.2,79.57,,,,,,
,,,13.82,22.67,0.85,0.35,16.75,65.68,8.28,37.5,217.14,0.17,76.13,,,,,,
,,,13.83,16.38,1.06,0.45,16.69,58.2,7.15,33.25,290.29,0.13,74.63,,,,,,
,,,13.85,22.65,1.22,0.38,18.25,56.74,6.41,34.77,304.18,0.2,58.13,,,,,,
,,,13.87,17.08,1.42,0.47,15.74,65.14,6.01,35.97,279.72,0.18,59.56,,,,,,
,,,13.88,18.01,1.16,0.42,14.56,68.0,7.85,37.49,234.49,0.12,72.75,,,,,,
,,,13.9,17.62,1.32,0.34,13.89,67.4,7.19,41.52,281.05,0.14,63.46,,,,,,
,,,13.92,17.6,1.01,0.5,13.44,68.94,7.31,34.32,352.6,0.17,61.74,,,,,,
,,,13.93,21.33,1.22,0.45,17.22,66.3,6.27,36.88,257.49,0.15,57.88,,,,,,
,,,13.95,21.17,1.19,0.46,16.19,65.35,7.9,42.77,266.62,0.14,75.51,,,,,,
,,,13.97,15.73,1.31,0.53,18.51,68.25,8.32,33.69,259.49,0.18,70.75,,,,,,
,,,13.98,24.84,0.94,0.43,15.93,57.44,7.68,46.39,277.4,0.16,63.95,,,,,,
,,,14.0,19.55,0.96,0.4,13.73,61.22,5.97,34.6,328.1,0.17,75.68,,,,,,
,,,14.02,20.13,1.34,0.45,16.41,68.32,9.8,47.41,215.71,0.17,68.34,,,,,,
,,,14.03,22.6,0.97,0.56,18.22,56.65,7.04,37.97,279.12,0.15,80.95,,,,,,
,,,14.05,20.09,1.11,0.5,15.01,68.71,9.23,38.47,308.46,0.2,50.93,,,,,,
,,,14.07,16.3,0.92,0.48,17.1,69.17,7.64,40.35,237.11,0.15,59.85,,,,,,
,,,14.08,17.73,0.91,0.45,12.27,61.2,5.99,35.61,258.43,0.16,60.77,,,,,,
,,,14.1,20.51,1.06,0.47,15.33,69.17,7.18,41.73,286.46,0.15,57.31,,,,,,
,,,14.12,18.44,1.1,0.54,14.36,64.31,6.56,34.27,233.32,0.19,65.31,,,,,,
,,,14.13,20.27,1.31,0.55,14.34,80.36,6.1,33.56,254.4,0.17,67.91,,,,,,
,,,14.15,18.54,1.31,0.58,15.81,52.89,6.49,31.63,298.18,0.2,76.81,,,,,,
,,,14.17,21.41,1.07,0.49,16.94,79.87,6.12,43.51,262.89,0.24,65.33,,,,,,
,,,14.18,15.92,1.09,0.6,13.61,70.22,7.04,34.76,313.2,0.2,54.47,,,,,,
,,,14.2,27.62,1.44,0.54,16.16,71.58,7.76,33.82,310.97,0.23,60.78,,,,,,
,,,14.22,21.41,1.22,0.34,15.75,67.78,6.66,34.55,258.35,0.21,70.21,,,,,,
,,,14.23,19.92,1.27,0.58,15.95,66.03,8.64,35.95,211.59,0.21,68.03,,,,,,
,,,14.25,27.25,0.97,0.5,14.56,65.64,7.14,29.14,237.9,0.19,84.09,,,,,,
,,,14.27,18.51,1.08,0.53,19.0,50.99,8.62,39.75,294.15,0.22,56.78,,,,,,
,,,14.28,20.79,1.11,0.54,14.81,72.48,5.36,39.15,352.84,0.2,51.68,,,,,,
,,,14.3,23.1,1.3,0.55,22.02,68.27,6.29,34.18,291.57,0.22,53.32,,,,,,
,,,14.32,19.34,1.3,0.54,18.19,63.33,7.58,35.96,258.08,0.18,81.38,,,,,,
,,,14.33,17.09,1.26,0.5,17.61,55.09,5.73,27.83,263.04,0.16,62.21,,,,,,
,,,14.35,20.75,1.26,0.57,15.24,62.3,6.55,35.26,266.63,0.21,68.25,,,,,,
,,,14.37,21.91,1.22,0.69,18.87,61.72,7.58,34.11,332.2,0.23,51.72,,,,,,
,,,14.38,21.67,0.84,0.61,19.08,64.07,8.79,42.83,214.98,0.19,75.91,,,,,,
,,,14.4,19.42,1.3,0.54,15.31,67.7,7.06,33.06,292.52,0.22,80.73,,,,,,
,,,14.42,32.11,1.72,0.6,16.17,57.65,8.49,43.95,255.83,0.23,89.57,,,,,,
,,,14.43,16.0,1.47,0.68,19.41,49.02,7.64,41.85,285.8,0.2,85.68,,,,,,
,,,14.45,18.45,1.52,0.59,18.26,49.93,7.71,44.67,246.45,0.18,82.36,,,,,,
,,,14.47,18.78,1.0,0.72,17.22,66.48,7.37,44.15,239.09,0.22,54.84,,,,,,
,,,14.48,17.15,1.12,0.62,12.29,62.23,8.83,37.77,350.15,0.22,65.62,,,,,,
,,,14.5,20.98,1.58,0.61,19.21,72.72,7.0,30.09,326.53,0.22,84.06,,,,,,
,,,14.52,18.51,1.45,0.68,20.0,77.98,7.13,43.13,303.04,0.24,56.18,,,,,,
,,,14.53,20.58,1.01,0.61,20.53,54.29,6.45,45.36,248.67,0.2,53.07,,,,,,
,,,14.55,13.33,1.45,0.68,17.37,75.39,5.3,34.71,349.07,0.27,57.44,,,,,,
,,,14.57,15.75,1.42,0.56,20.47,80.94,5.65,38.44,243.28,0.26,77.96,,,,,,
,,,14.58,16.49,1.65,0.56,16.89,72.98,7.37,43.87,300.8,0.19,71.04,,,,,,
,,,14.6,14.54,1.1,0.48,18.26,77.78,6.97,39.33,304.88,0.23,63.74,,,,,,
,,,14.62,14.2,1.32,0.56,17.29,62.81,6.67,41.01,328.98,0.17,78.6,,,,,,
,,,14.63,17.62,1.02,0.58,20.15,71.07,5.36,43.11,337.54,0.19,71.73,,,,,,
,,,14.65,12.76,1.08,0.63,16.17,57.84,9.05,36.45,248.3,0.19,55.65,,,,,,
,,,14.67,17.55,1.67,0.66,21.54,69.0,9.47,31.22,301.2,0.2,73.46,,,,,,
,,,14.68,20.18,1.22,0.55,20.93,58.4,8.01,43.09,374.44,0.2,71.58,,,,,,
,,,14.7,16.5,1.61,0.76,14.49,72.58,6.96,36.12,282.11,0.19,72.44,,,,,,
,,,14.72,19.31,1.11,0.62,18.52,66.66,7.74,31.64,248.59,0.18,68.55,,,,,,
,,,14.73,19.04,1.08,0.63,15.43,70.6,8.44,36.62,252.23,0.13,53.0,,,,,,
,,,14.75,13.13,1.24,0.68,15.52,73.43,9.37,33.83,297.09,0.25,61.16,,,,,,
,,,14.77,15.27,1.39,0.51,23.21,60.73,7.19,41.48,251.54,0.19,71.57,,,,,,
,,,14.78,18.96,1.16,0.68,21.74,58.49,7.2,36.61,265.15,0.19,89.65,,,,,,
,,,14.8,22.98,1.49,0.73,18.66,60.32,8.24,36.99,268.77,0.19,56.24,,,,,,
,,,14.82,15.93,1.31,0.6,19.5,55.2,7.16,31.09,262.51,0.26,63.04,,,,,,
,,,14.83,13.51,1.44,0.75,17.9,50.38,6.04,49.08,299.83,0.18,72.94,,,,,,
,,,14.85,18.19,1.17,0.75,22.84,72.52,8.4,32.05,296.87,0.23,67.36,,,,,,
,,,14.87,18.36,1.52,0.77,21.71,64.96,7.04,31.82,311.75,0.23,73.3,,,,,,
,,,14.88,18.5,1.26,0.67,20.05,59.66,6.92,32.27,338.43,0.26,73.81,,,,,,
,,,14.9,18.14,1.49,0.66,21.22,63.56,7.14,33.77,268.13,0.19,65.82,,,,,,
,,,14.92,17.46,1.34,0.64,17.52,64.87,5.86,31.25,269.05,0.21,95.23,,,,,,
,,,14.93,19.38,1.14,0.66,22.89,71.69,7.66,35.13,229.04,0.16,87.27,,,,,,
,,,14.95,26.23,1.08,0.83,18.02,63.19,7.02,44.88,263.66,0.21,64.82,,,,,,
,,,14.97,23.55,1.1,0.72,21.6,78.99,6.58,36.19,282.33,0.2,66.58,,,,,,
,,,14.98,19.89,1.44,0.69,18.76,65.34,5.05,44.59,329.35,0.2,71.54,,,,,,
,,,15.0,19.84,1.29,0.72,15.69,66.22,8.45,37.33,242.92,0.19,65.54,,,,,,
,,,15.02,23.99,1.29,0.89,18.39,54.97,7.53,44.53,264.84,0.21,71.35,,,,,,
,,,15.03,18.45,1.2,0.69,17.46,60.56,6.47,43.87,269.02,0.23,69.26,,,,,,
,,,15.05,18.35,1.42,0.73,17.56,57.52,7.2,41.71,266.42,0.25,52.55,,,,,,
,,,15.07,20.79,1.05,0.59,20.92,70.08,10.55,34.59,286.98,0.26,54.66,,,,,,
,,,15.08,22.04,1.63,0.64,23.72,62.58,8.47,37.67,282.73,0.21,63.24,,,,,,
,,,15.1,19.25,1.48,0.87,21.08,79.61,7.55,29.75,288.93,0.26,53.0,,,,,,
,,,15.12,20.55,1.41,0.56,18.85,68.4,6.35,34.56,301.05,0.25,72.54,,,,,,
,,,15.13,21.39,1.28,0.64,25.0,76.63,5.97,34.98,323.14,0.22,57.9,,,,,,
,,,15.15,19.14,1.43,0.62,16.24,73.26,6.37,43.35,408.75,0.23,66.6,,,,,,
,,,15.17,21.26,1.34,0.65,24.35,53.46,8.97,37.85,251.32,0.23,85.56,,,,,,
,,,15.18,20.62,1.33,0.78,21.47,68.88,8.92,41.68,385.43,0.25,65.75,,,,,,
,,,15.2,16.49,1.56,0.77,20.93,82.73,8.14,34.36,321.6,0.2,61.14,,,,,,
,,,15.22,17.36,1.34,0.76,23.58,75.5,7.48,35.94,344.88,0.24,56.53,,,,,,
,,,15.23,19.96,1.24,0.78,21.12,80.87,5.95,33.16,349.7,0.22,77.8,,,,,,
,,,15.25,14.27,1.44,0.75,18.34,52.15,10.02,35.46,340.45,0.18,79.36,,,,,,
,,,15.27,17.04,1.42,0.85,17.21,64.08,8.0,36.29,323.95,0.18,69.62,,,,,,
,,,15.28,24.31,1.35,0.64,21.04,55.03,7.74,28.28,271.16,0.22,66.86,,,,,,
,,,15.3,20.69,1.54,0.81,20.03,69.56,8.25,34.46,262.61,0.25,65.34,,,,,,
,,,15.32,16.61,1.38,1.11,20.75,64.6,6.41,32.69,275.88,0.25,45.81,,,,,,
,,,15.33,19.85,1.62,0.58,19.6,69.04,5.52,39.71,370.48,0.21,68.79,,,,,,
,,,15.35,20.1,1.36,0.75,23.51,73.59,7.13,35.17,322.24,0.21,62.88,,,,,,
,,,15.37,20.3,1.17,0.7,17.24,63.56,6.99,42.92,406.42,0.2,87.43,,,,,,
,,,15.38,18.62,1.26,0.93,18.38,64.15,8.68,31.43,301.47,0.26,82.86,,,,,,
,,,15.4,16.25,1.44,0.69,19.48,68.77,6.4,39.18,290.53,0.2,63.58,,,,,,
,,,15.42,20.51,1.63,0.95,18.7,60.15,7.3,41.64,322.6,0.22,70.11,,,,,,
,,,15.43,15.27,1.76,0.93,22.83,49.71,5.9,42.84,270.18,0.23,64.78,,,,,,
,,,15.45,18.37,1.15,0.82,21.25,68.08,5.28,34.51,354.75,0.28,67.34,,,,,,
,,,15.47,19.67,1.23,0.79,24.07,65.67,8.19,32.02,387.77,0.23,66.19,,,,,,
,,,15.48,16.06,1.33,0.59,24.85,60.1,7.54,36.35,297.81,0.23,71.72,,,,,,
,,,15.5,16.85,1.39,0.72,19.25,84.76,7.21,40.11,414.25,0.25,70.21,,,,,,
,,,15.52,19.81,1.28,1.0,25.36,61.33,6.19,37.11,321.7,0.26,64.31,,,,,,
,,,15.53,21.35,1.16,0.59,23.1,57.08,6.96,35.68,283.51,0.22,61.24,,,,,,
,,,15.55,22.78,1.5,0.86,24.32,67.49,7.36,38.09,342.01,0.22,68.2,,,,,,
,,,15.57,18.69,1.51,0.62,26.72,81.06,5.65,27.72,354.21,0.27,78.94,,,,,,
,,,15.58,13.64,1.5,0.68,26.44,74.35,6.78,31.08,334.28,0.3,68.43,,,,,,
,,,15.6,12.53,1.3,0.97,26.45,68.6,6.78,43.54,252.3,0.25,72.53,,,,,,
,,,15.62,15.21,1.44,0.84,23.37,62.56,5.83,43.67,328.48,0.22,67.7,,,,,,
,,,15.63,13.83,1.36,0.86,19.93,52.57,5.87,26.91,393.67,0.27,85.96,,,,,,
,,,15.65,16.05,1.29,0.81,23.12,73.94,5.84,27.51,269.57,0.26,59.39,,,,,,
,,,15.67,13.95,1.21,0.77,21.19,70.87,5.15,47.97,298.88,0.24,59.95,,,,,,
,,,15.68,19.06,1.53,0.99,24.55,64.12,7.43,37.47,399.4,0.29,73.14,,,,,,
,,,15.7,16.9,1.21,1.08,26.21,63.64,6.97,38.36,315.63,0.23,76.46,,,,,,
,,,15.72,16.15,1.35,1.05,24.54,68.05,6.52,29.74,258.51,0.25,82.98,,,,,,
,,,15.73,19.21,1.29,0.88,26.15,68.4,4.92,42.97,317.13,0.25,59.16,,,,,,
,,,15.75,17.61,1.25,1.05,22.6,74.71,7.78,26.93,322.66,0.23,64.58,,,,,,
,,,15.77,20.72,0.98,0.94,26.89,48.55,6.31,38.09,292.7,0.34,75.49,,,,,,
,,,15.78,16.75,1.36,1.12,19.91,57.16,7.44,40.31,368.46,0.26,70.62,,,,,,
,,,15.8,16.09,1.47,1.21,26.24,64.46,7.35,42.68,330.01,0.26,70.53,,,,,,
,,,15.82,22.52,1.2,0.91,19.97,66.06,6.82,33.02,351.19,0.23,68.55,,,,,,
,,,15.83,20.07,1.37,0.71,22.11,57.37,6.52,46.65,348.91,0.26,74.35,,,,,,
,,,15.85,20.45,1.37,0.92,19.83,67.06,6.79,37.9,345.52,0.25,91.62,,,,,,
,,,15.87,12.57,1.36,0.97,21.4,77.6,4.9,32.77,355.77,0.24,76.21,,,,,,
,,,15.88,12.91,1.67,0.95,21.93,68.97,8.42,29.36,351.45,0.22,71.91,,,,,,
,,,15.9,16.92,1.59,0.9,22.74,66.93,6.31,33.39,325.16,0.29,70.03,,,,,,
,,,15.92,20.51,1.04,0.92,20.72,72.82,7.4,40.46,342.53,0.28,70.86,,,,,,
,,,15.93,20.18,1.47,0.91,23.04,69.02,6.36,40.49,296.13,0.31,74.78,,,,,,
,,,15.95,18.45,1.26,0.99,22.26,68.3,6.98,34.58,323.57,0.24,93.05,,,,,,
,,,15.97,18.11,1.28,0.88,16.38,59.25,6.46,38.42,331.24,0.22,86.0,,,,,,
,,,15.98,17.55,1.32,0.87,23.38,57.23,6.37,30.91,318.9,0.26,88.68,,,,,,
,,,16.0,17.19,1.5,1.02,23.41,59.79,6.46,36.77,371.39,0.29,61.96,,,,,,
,,,16.02,19.83,1.28,0.94,23.21,64.95,6.36,34.05,382.89,0.26,66.02,,,,,,
,,,16.03,23.31,1.43,1.09,19.97,68.12,5.89,33.23,296.18,0.19,78.06,,,,,,
,,,16.05,24.09,1.42,0.79,27.38,73.86,6.0,40.52,367.69,0.28,62.11,,,,,,
,,,16.07,15.59,1.2,1.16,20.06,65.62,9.19,40.54,359.66,0.21,63.48,,,,,,
,,,16.08,15.94,1.26,1.01,29.09,61.68,6.38,40.57,324.46,0.27,66.44,,,,,,
,,,16.1,17.2,1.23,1.24,21.08,70.85,5.9,29.89,266.69,0.29,58.34,,,,,,
,,,16.12,16.24,1.35,0.97,32.0,71.32,5.27,31.7,256.25,0.27,65.88,,,,,,
,,,16.13,16.35,1.54,0.9,30.71,87.14,6.5,37.74,311.51,0.21,80.67,,,,,,
,,,16.15,18.22,1.5,1.07,24.74,63.21,6.02,39.64,288.88,0.35,84.38,,,,,,
,,,16.17,24.1,1.3,0.83,22.65,50.56,7.55,33.99,282.27,0.3,60.48,,,,,,
,,,16.18,21.47,1.67,0.89,28.54,57.94,10.57,29.62,334.8,0.25,59.25,,,,,,
,,,16.2,21.86,1.27,1.03,24.92,63.86,8.45,34.92,348.09,0.24,61.57,,,,,,
,,,16.22,20.27,0.99,0.88,27.33,74.5,5.78,44.17,329.29,0.23,94.25,,,,,,
,,,16.23,18.53,0.97,0.86,19.77,62.15,7.4,43.55,361.28,0.27,52.03,,,,,,
,,,16.25,18.93,1.68,1.13,25.52,59.89,6.95,40.25,304.88,0.25,70.23,,,,,,
,,,16.27,19.65,1.33,0.76,29.31,63.6,7.03,33.81,350.75,0.27,72.54,,,,,,
,,,16.28,21.93,1.54,0.93,29.45,82.14,5.32,42.14,315.97,0.28,77.91,,,,,,
,,,16.3,18.36,1.11,0.93,28.83,67.64,7.45,44.08,359.3,0.24,79.12,,,,,,
,,,16.32,21.14,1.8,1.12,28.61,71.19,6.16,30.24,372.83,0.23,72.43,,,,,,
,,,16.33,21.56,1.31,1.02,21.98,64.13,8.0,43.45,319.42,0.19,69.58,,,,,,
,,,16.35,23.61,1.73,1.25,18.28,50.99,7.14,39.05,307.98,0.25,60.21,,,,,,
,,,16.37,19.0,1.49,1.23,27.17,60.88,9.86,38.41,389.88,0.23,60.46,,,,,,
,,,16.38,26.67,1.2,0.88,30.06,79.37,5.82,31.1,333.38,0.23,65.35,,,,,,
,,,16.4,15.43,1.4,1.23,26.37,64.15,7.44,34.93,271.53,0.2,53.98,,,,,,
,,,16.42,27.05,1.76,0.86,29.1,70.78,7.99,37.54,372.35,0.24,59.14,,,,,,
,,,16.43,17.1,1.59,1.36,30.27,82.59,8.0,42.91,225.61,0.35,75.92,,,,,,
,,,16.45,18.71,1.24,1.0,24.04,62.41,5.31,34.8,267.35,0.29,71.21,,,,,,
,,,16.47,23.25,1.89,1.07,25.46,79.25,6.82,34.5,337.16,0.21,71.53,,,,,,
,,,16.48,20.78,1.51,0.96,30.58,71.41,6.79,38.24,334.55,0.27,57.86,,,,,,
,,,16.5,19.07,1.12,0.95,30.01,83.28,8.36,36.21,280.87,0.26,65.0,,,,,,
,,,16.52,14.28,1.47,0.98,32.65,69.6,6.6,31.94,403.3,0.28,60.3,,,,,,
,,,16.53,21.72,1.23,0.86,28.86,74.24,6.88,50.31,269.67,0.24,72.1,,,,,,
,,,16.55,15.62,1.88,1.04,34.25,87.13,8.26,42.15,332.23,0.27,64.77,,,,,,
,,,16.57,16.21,1.53,1.11,28.19,59.43,7.92,60.44,307.79,0.2,72.08,,,,,,
,,,16.58,15.69,1.14,1.07,34.61,74.51,6.27,33.41,262.95,0.26,72.11,,,,,,
,,,16.6,17.62,1.25,1.07,28.46,84.12,8.15,43.32,355.61,0.28,60.02,,,,,,
,,,16.62,19.46,1.81,1.22,35.9,69.9,6.14,36.79,277.1,0.25,65.33,,,,,,
,,,16.63,19.66,1.66,0.98,34.57,69.38,5.52,32.15,388.25,0.28,71.59,,,,,,
,,,16.65,15.34,1.44,1.02,33.67,69.64,4.99,43.29,392.58,0.35,77.88,,,,,,
,,,16.67,18.75,1.25,0.88,26.65,74.25,7.22,42.18,334.2,0.37,77.09,,,,,,
,,,16.68,18.95,1.14,1.13,34.62,56.57,5.92,37.57,313.05,0.26,64.04,,,,,,
,,,16.7,19.62,1.65,1.11,28.03,77.45,5.07,41.45,366.23,0.23,48.62,,,,,,
,,,16.72,19.53,1.4,1.22,34.67,62.18,6.36,39.58,325.7,0.27,73.12,,,,,,
,,,16.73,24.56,2.02,1.27,29.67,62.15,8.07,38.97,324.49,0.24,85.0,,,,,,
