Time (h),OD 600,Product (kg),Time (h),DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h),Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
,,,12.73,19.41,1.02,0.2,10.86,65.56,7.2,37,244.48,0.11,67.53,,,,,,
,,,12.75,19.17,1.02,0.2,10.92,65.56,6.99,37,244.88,0.11,67.53,,,,,,
,,,12.77,19.63,1.02,0.2,10.99,65.56,6.93,37,245.29,0.11,67.53,,,,,,
,,,12.78,18.94,1.02,0.2,11.05,65.56,6.76,37.01,245.7,0.11,67.53,,,,,,
,,,12.8,20.22,1.02,0.2,11.12,65.56,7.56,37.01,246.1,0.11,67.53,,,,,,
,,,12.82,21.27,1.02,0.2,11.19,65.56,7.09,37,246.51,0.11,67.53,,,,,,
,,,12.83,19.27,1.02,0.2,11.25,65.56,7.23,37,246.91,0.11,67.53,,,,,,
,,,12.85,22.04,1.02,0.2,11.32,65.56,7.12,36.99,247.32,0.11,67.53,,,,,,
,,,12.87,20.56,1.02,0.2,11.38,65.56,7.46,36.99,247.73,0.11,67.53,,,,,,
,,,12.88,21.17,1.02,0.2,11.45,65.56,6.76,36.99,248.13,0.11,67.53,,,,,,
,,,12.9,19.22,1.02,0.2,11.52,65.56,6.93,36.99,248.54,0.11,67.53,,,,,,
,,,12.92,21.17,1.02,0.2,11.58,65.56,7.27,37,248.95,0.11,67.53,,,,,,
,,,12.93,19.98,1.02,0.2,11.65,65.56,6.94,37.01,249.35,0.11,67.53,,,,,,
,,,12.95,21.99,1.02,0.2,11.71,65.56,6.65,37,249.76,0.11,67.53,,,,,,
,,,12.97,20.3,1.06,0.28,11.78,65.56,7.02,36.99,250.16,0.12,67.53,,,,,,
,,,12.98,22.45,1.07,0.3,11.85,65.65,7.14,37.01,250.57,0.12,67.62,,,,,,
,,,13,22.72,1.07,0.3,11.91,65.67,7.66,37,250.98,0.12,67.64,,,,,,
,,,13.02,21.16,1.07,0.3,11.98,65.67,6.55,36.99,251.38,0.12,67.64,,,,,,
,,,13.03,20.4,1.07,0.3,12.04,65.67,6.66,37,251.79,0.12,67.64,,,,,,
,,,13.05,19.78,1.07,0.3,12.11,65.67,6.9,37.01,252.2,0.12,67.64,,,,,,
,,,13.07,20.41,1.07,0.3,12.18,65.67,6.87,37.01,252.6,0.12,67.64,,,,,,
,,,13.08,19.57,1.07,0.3,12.24,65.67,7.7,37.01,253.01,0.12,67.64,,,,,,
,,,13.1,19.33,1.07,0.3,12.31,65.67,6.83,37.01,253.41,0.12,67.64,,,,,,
,,,13.12,20.74,1.07,0.3,12.37,65.67,6.91,37.01,253.82,0.12,67.64,,,,,,
,,,13.13,21.3,1.07,0.3,12.44,65.67,6.75,37,254.23,0.12,67.64,,,,,,
,,,13.15,20.11,1.07,0.3,12.51,65.67,6.58,37,254.63,0.12,67.64,,,,,,
,,,13.17,20.33,1.07,0.3,12.57,65.67,6.66,37,255.04,0.12,67.64,,,,,,
,,,13.18,20.63,1.07,0.3,12.64,65.67,7.05,37,255.45,0.12,67.64,,,,,,
,,,13.2,21.93,1.07,0.3,12.71,65.67,6.66,37,255.85,0.12,67.64,,,,,,
,,,13.22,20.83,1.07,0.3,12.77,65.67,6.97,37,256.26,0.12,67.64,,,,,,
,,,13.23,20.6,1.07,0.3,12.84,65.67,6.39,36.99,256.66,0.12,67.64,,,,,,
,,,13.25,21.53,1.07,0.3,12.9,65.67,7.23,36.99,257.07,0.12,67.64,,,,,,
,,,13.27,19,1.07,0.3,12.97,65.67,7.34,37,257.48,0.12,67.64,,,,,,
,,,13.28,19.2,1.07,0.3,13.04,65.67,7.22,37,257.88,0.12,67.64,,,,,,
,,,13.3,20.84,1.07,0.3,13.1,65.67,6.99,37,258.29,0.13,67.64,,,,,,
,,,13.32,21.76,1.07,0.3,13.17,65.68,6.87,36.99,258.7,0.13,67.65,,,,,,
,,,13.33,20.37,1.07,0.3,13.23,65.68,6.86,37,259.1,0.13,67.65,,,,,,
,,,13.35,20.17,1.07,0.3,13.3,65.68,6.77,37,259.51,0.13,67.65,,,,,,
,,,13.37,21,1.07,0.3,13.37,65.68,6.83,37.01,259.91,0.13,67.65,,,,,,
,,,13.38,20.13,1.07,0.3,13.43,65.68,7.12,37,260.32,0.13,67.65,,,,,,
,,,13.4,20.76,1.07,0.3,13.5,65.68,7.47,36.99,260.73,0.13,67.65,,,,,,
,,,13.42,20.13,1.07,0.3,13.56,65.68,7.02,37,261.13,0.13,67.65,,,,,,
,,,13.43,19.98,1.11,0.38,13.63,65.68,7.35,37,261.54,0.13,67.65,,,,,,
,,,13.45,20.73,1.12,0.4,13.7,65.76,6.98,37,261.95,0.13,67.73,,,,,,
,,,13.47,20.76,1.12,0.4,13.76,65.78,7.51,37,262.35,0.14,67.75,,,,,,
,,,13.48,20.18,1.12,0.4,13.83,65.79,6.88,37,262.76,0.15,67.76,,,,,,
,,,13.5,19.25,1.12,0.4,13.89,65.8,6.82,37,263.16,0.15,67.77,,,,,,
,,,13.52,19.24,1.12,0.4,13.96,65.8,6.81,37,263.57,0.15,67.77,,,,,,
,,,13.53,18.96,1.12,0.4,14.03,65.8,7.14,37,263.98,0.15,67.77,,,,,,
,,,13.55,17.33,1.12,0.4,14.09,65.8,6.65,36.99,264.38,0.15,67.77,,,,,,
,,,13.57,18.02,1.12,0.4,14.16,65.8,6.99,37,264.79,0.15,67.77,,,,,,
,,,13.58,17.93,1.12,0.4,14.22,65.8,6.55,37,265.2,0.16,67.77,,,,,,
,,,13.6,17.91,1.12,0.4,14.29,65.81,7.58,36.99,265.6,0.17,67.78,,,,,,
,,,13.62,18.06,1.12,0.4,14.36,65.82,6.81,37,266.01,0.17,67.79,,,,,,
,,,13.63,17.42,1.12,0.4,14.42,65.82,6.95,37,266.41,0.17,67.79,,,,,,
,,,13.65,18.25,1.12,0.4,14.49,65.82,6.61,37,266.82,0.17,67.79,,,,,,
,,,13.67,17.82,1.12,0.4,14.55,65.82,7.14,37,267.23,0.17,67.79,,,,,,
,,,13.68,18.39,1.12,0.4,14.62,65.82,6.97,37,267.63,0.17,67.79,,,,,,
,,,13.7,17.47,1.12,0.4,14.69,65.82,6.59,36.99,268.04,0.17,67.79,,,,,,
,,,13.72,18.8,1.12,0.4,14.75,65.82,6.87,36.99,268.45,0.17,67.79,,,,,,
,,,13.73,19.47,1.12,0.4,14.82,65.82,7.07,36.99,268.85,0.17,67.79,,,,,,
,,,13.75,19.53,1.12,0.4,14.88,65.82,6.41,37,269.26,0.17,67.79,,,,,,
,,,13.77,19.72,1.12,0.4,14.95,65.82,6.51,37,269.66,0.17,67.79,,,,,,
,,,13.78,18.51,1.12,0.4,15.02,65.82,6.18,37,270.07,0.17,67.79,,,,,,
,,,13.8,19.27,1.12,0.4,15.08,65.82,6.94,37,270.48,0.17,67.79,,,,,,
,,,13.82,19.8,1.12,0.4,15.15,65.82,7.81,37,270.88,0.17,67.79,,,,,,
,,,13.83,19.78,1.12,0.4,15.21,65.82,6.77,37,271.29,0.17,67.79,,,,,,
,,,13.85,20.07,1.12,0.4,15.28,65.82,6.76,37,271.7,0.17,67.79,,,,,,
,,,13.87,18.63,1.16,0.48,15.35,65.82,6.76,37.01,272.1,0.17,67.79,,,,,,
,,,13.88,19.78,1.17,0.5,15.41,65.9,6.83,37,272.51,0.17,67.88,,,,,,
,,,13.9,20.03,1.17,0.5,15.48,65.92,6.65,37,272.91,0.17,67.9,,,,,,
,,,13.92,18.31,1.17,0.5,15.54,65.92,7.38,37,273.32,0.17,67.9,,,,,,
,,,13.93,17.79,1.17,0.5,15.61,65.92,6.84,37.01,273.73,0.17,67.9,,,,,,
,,,13.95,20.44,1.17,0.5,15.68,65.92,7.03,37.01,274.13,0.17,67.9,,,,,,
,,,13.97,18.88,1.17,0.5,15.74,65.92,6.5,37,274.54,0.17,67.9,,,,,,
,,,13.98,19.25,1.17,0.5,15.81,65.92,7.43,36.99,274.95,0.17,67.9,,,,,,
,,,14,18.69,1.17,0.5,15.88,65.92,7.09,36.99,275.35,0.17,67.9,,,,,,
,,,14.02,19.57,1.17,0.5,15.94,65.92,6.88,36.98,275.76,0.17,67.9,,,,,,
,,,14.03,19.26,1.17,0.5,16.01,65.92,6.7,37,276.16,0.17,67.9,,,,,,
,,,14.05,18.86,1.17,0.5,16.07,65.92,6.89,37.01,276.57,0.17,67.9,,,,,,
,,,14.07,18.19,1.17,0.5,16.14,65.92,7.33,37.01,276.98,0.17,67.9,,,,,,
,,,14.08,19.6,1.17,0.5,16.21,65.92,6.86,37.01,277.38,0.17,67.9,,,,,,
,,,14.1,18.26,1.17,0.5,16.27,65.92,6.27,37,277.79,0.17,67.9,,,,,,
,,,14.12,19.89,1.17,0.5,16.34,65.92,7.41,37,278.2,0.18,67.9,,,,,,
,,,14.13,20.56,1.17,0.5,16.4,65.93,6.86,37,278.6,0.18,67.91,,,,,,
,,,14.15,19.95,1.17,0.5,16.47,65.93,6.78,37,279.01,0.2,67.91,,,,,,
,,,14.17,20.6,1.17,0.5,16.54,65.95,7.3,37,279.41,0.2,67.93,,,,,,
,,,14.18,18.38,1.17,0.5,16.6,65.95,6.43,37.01,279.82,0.2,67.93,,,,,,
,,,14.2,19.7,1.17,0.5,16.67,65.95,7.13,37,280.23,0.2,67.93,,,,,,
,,,14.22,19.69,1.17,0.5,16.73,65.95,6.63,36.99,280.63,0.2,67.93,,,,,,
,,,14.23,19.91,1.17,0.5,16.8,65.95,7.55,37,281.04,0.2,67.93,,,,,,
,,,14.25,19.3,1.17,0.5,16.87,65.95,7.05,37,281.45,0.2,67.93,,,,,,
,,,14.27,18.52,1.17,0.5,16.93,65.95,7.03,37.01,281.85,0.2,67.93,,,,,,
,,,14.28,19.68,1.17,0.5,17,65.95,6.82,37.01,282.26,0.2,67.93,,,,,,
,,,14.3,18.66,1.2,0.56,17.06,65.95,6.8,37.01,282.66,0.2,67.93,,,,,,
,,,14.32,18.97,1.22,0.6,17.13,66.01,6.27,37.01,283.07,0.2,67.99,,,,,,
,,,14.33,19.57,1.22,0.6,17.2,66.05,6.33,37.01,283.48,0.2,68.03,,,,,,
,,,14.35,18.95,1.22,0.6,17.26,66.05,6.54,37,283.88,0.19,68.03,,,,,,
,,,14.37,19.58,1.22,0.6,17.33,66.04,6.6,37,284.29,0.2,68.02,,,,,,
,,,14.38,18.99,1.22,0.6,17.39,66.05,7.03,36.98,284.7,0.2,68.03,,,,,,
,,,14.4,20.02,1.22,0.6,17.46,66.05,7.21,36.98,285.1,0.2,68.03,,,,,,
,,,14.42,20.14,1.22,0.6,17.53,66.05,7.27,36.99,285.51,0.2,68.03,,,,,,
,,,14.43,19.18,1.22,0.6,17.59,66.05,7.52,36.99,285.91,0.2,68.03,,,,,,
,,,14.45,18.21,1.22,0.6,17.66,66.05,7.57,36.99,286.32,0.2,68.03,,,,,,
,,,14.47,18.46,1.22,0.6,17.72,66.05,7.63,36.99,286.73,0.2,68.03,,,,,,
,,,14.48,19.61,1.22,0.6,17.79,66.05,7.47,37,287.13,0.2,68.03,,,,,,
,,,14.5,18.71,1.22,0.6,17.86,66.05,7.17,37,287.54,0.2,68.03,,,,,,
,,,14.52,19.01,1.22,0.6,17.92,66.05,7.39,37,287.95,0.2,68.03,,,,,,
,,,14.53,19.32,1.22,0.6,17.99,66.05,7.13,37,288.35,0.2,68.03,,,,,,
,,,14.55,17.23,1.22,0.6,18.05,66.05,7.58,37.01,288.76,0.2,68.03,,,,,,
,,,14.57,17.23,1.22,0.6,18.12,66.05,6.83,37,289.16,0.2,68.03,,,,,,
,,,14.58,17.74,1.22,0.6,18.19,66.05,7.17,37.01,289.57,0.2,68.03,,,,,,
,,,14.6,17.08,1.22,0.6,18.25,66.05,6.69,37.01,289.98,0.2,68.03,,,,,,
,,,14.62,16.46,1.22,0.6,18.32,66.05,6.78,37.01,290.38,0.2,68.03,,,,,,
,,,14.63,17.66,1.22,0.6,18.38,66.05,6.36,37.01,290.79,0.2,68.03,,,,,,
,,,14.65,18.33,1.22,0.6,18.45,66.05,7.4,37,291.2,0.21,68.03,,,,,,
,,,14.67,17.47,1.22,0.6,18.52,66.06,7.41,37,291.6,0.21,68.04,,,,,,
,,,14.68,18.19,1.22,0.6,18.58,66.06,7.7,37.01,292.01,0.21,68.04,,,,,,
,,,14.7,18.18,1.22,0.6,18.65,66.06,7.21,37.01,292.41,0.21,68.04,,,,,,
,,,14.72,18.49,1.22,0.6,18.71,66.06,7.27,37.01,292.82,0.21,68.04,,,,,,
,,,14.73,17.49,1.22,0.6,18.78,66.06,7.35,37.02,293.23,0.21,68.04,,,,,,
,,,14.75,17.04,1.22,0.6,18.85,66.06,7.18,37.01,293.63,0.21,68.04,,,,,,
,,,14.77,17.18,1.23,0.62,18.91,66.06,6.87,37,294.04,0.21,68.04,,,,,,
,,,14.78,18.02,1.27,0.7,18.98,66.08,6.63,37.01,294.45,0.21,68.06,,,,,,
,,,14.8,18.53,1.27,0.7,19.05,66.15,6.72,37,294.85,0.21,68.13,,,,,,
,,,14.82,18.47,1.27,0.7,19.11,66.16,6.87,37,295.26,0.21,68.14,,,,,,
,,,14.83,18.83,1.27,0.7,19.18,66.16,6.99,37,295.66,0.21,68.14,,,,,,
,,,14.85,17.47,1.27,0.7,19.24,66.16,6.75,37,296.07,0.21,68.14,,,,,,
,,,14.87,18.17,1.27,0.7,19.31,66.16,7.23,36.99,296.48,0.21,68.14,,,,,,
,,,14.88,18.33,1.27,0.7,19.38,66.16,6.74,37.01,296.88,0.21,68.14,,,,,,
,,,14.9,17.37,1.27,0.7,19.44,66.16,6.45,37,297.29,0.21,68.14,,,,,,
,,,14.92,17.81,1.27,0.7,19.51,66.16,7.41,37,297.7,0.21,68.14,,,,,,
,,,14.93,19.94,1.27,0.7,19.57,66.16,7.08,36.99,298.1,0.21,68.14,,,,,,
,,,14.95,19.35,1.27,0.7,19.64,66.16,7.66,37,298.51,0.21,68.14,,,,,,
,,,14.97,19.26,1.27,0.7,19.71,66.16,7.27,37.01,298.91,0.21,68.14,,,,,,
,,,14.98,20.27,1.27,0.7,19.77,66.16,6.73,36.99,299.32,0.21,68.14,,,,,,
,,,15,18.16,1.27,0.7,19.84,66.16,7.11,36.98,299.73,0.21,68.14,,,,,,
,,,15.02,17.92,1.27,0.7,19.9,66.16,6.71,36.99,300.13,0.21,68.14,,,,,,
,,,15.03,18.56,1.27,0.7,19.97,66.16,7.47,36.99,300.54,0.21,68.14,,,,,,
,,,15.05,19.34,1.27,0.7,20.04,66.16,7.34,36.99,300.95,0.21,68.14,,,,,,
,,,15.07,19.14,1.27,0.7,20.1,66.16,7.45,36.99,301.35,0.21,68.14,,,,,,
,,,15.08,19.19,1.27,0.7,20.17,66.16,7.48,36.99,301.76,0.22,68.14,,,,,,
,,,15.1,19.14,1.27,0.7,20.23,66.17,6.66,36.99,302.16,0.22,68.16,,,,,,
,,,15.12,19.44,1.27,0.7,20.3,66.17,6.89,37,302.57,0.22,68.16,,,,,,
,,,15.13,17.88,1.27,0.7,20.37,66.17,6.67,36.99,302.98,0.22,68.16,,,,,,
,,,15.15,17.68,1.27,0.7,20.43,66.17,6.51,36.99,303.38,0.22,68.16,,,,,,
,,,15.17,18.81,1.27,0.7,20.5,66.17,7.26,37,303.79,0.22,68.16,,,,,,
,,,15.18,18.22,1.31,0.77,20.56,66.17,7.3,37,304.2,0.22,68.16,,,,,,
,,,15.2,18.09,1.32,0.8,20.63,66.23,7.31,37,304.6,0.22,68.22,,,,,,
,,,15.22,18.18,1.32,0.8,20.7,66.27,7.13,37,305.01,0.22,68.26,,,,,,
,,,15.23,18.73,1.32,0.8,20.76,66.27,7.25,37,305.41,0.22,68.26,,,,,,
,,,15.25,19.21,1.32,0.8,20.83,66.27,8.32,37,305.82,0.22,68.26,,,,,,
,,,15.27,17.94,1.32,0.8,20.89,66.27,7.12,37,306.23,0.22,68.26,,,,,,
,,,15.28,19.08,1.32,0.8,20.96,66.27,7.26,37,306.63,0.22,68.26,,,,,,
,,,15.3,18.8,1.32,0.8,21.03,66.27,7.42,37,307.04,0.22,68.26,,,,,,
,,,15.32,17.84,1.32,0.8,21.09,66.27,7.11,37,307.45,0.22,68.26,,,,,,
,,,15.33,18.62,1.32,0.8,21.16,66.27,7.59,37,307.85,0.23,68.26,,,,,,
,,,15.35,18.23,1.32,0.8,21.22,66.28,7.3,37,308.26,0.23,68.27,,,,,,
,,,15.37,17.75,1.32,0.8,21.29,66.28,7.48,37,308.66,0.23,68.27,,,,,,
,,,15.38,18.7,1.32,0.8,21.36,66.28,7.15,37,309.07,0.23,68.27,,,,,,
,,,15.4,18.42,1.32,0.8,21.42,66.28,7.24,37,309.48,0.23,68.27,,,,,,
,,,15.42,19.15,1.32,0.8,21.49,66.28,6.74,37.01,309.88,0.23,68.27,,,,,,
,,,15.43,18.37,1.32,0.8,21.55,66.28,6.98,37,310.29,0.23,68.27,,,,,,
,,,15.45,19.06,1.32,0.8,21.62,66.28,6.6,36.99,310.7,0.23,68.27,,,,,,
,,,15.47,17.93,1.32,0.8,21.69,66.28,6.76,36.99,311.1,0.23,68.27,,,,,,
,,,15.48,19.03,1.32,0.8,21.75,66.28,7.13,37,311.51,0.23,68.27,,,,,,
,,,15.5,18.55,1.32,0.8,21.82,66.28,7.27,37,311.91,0.23,68.27,,,,,,
,,,15.52,19.48,1.32,0.8,21.88,66.28,6.09,37,312.32,0.23,68.27,,,,,,
,,,15.53,19.6,1.32,0.8,21.95,66.28,6.48,37,312.73,0.23,68.27,,,,,,
,,,15.55,18.02,1.32,0.8,22.02,66.28,6.91,37.01,313.13,0.23,68.27,,,,,,
,,,15.57,17.42,1.32,0.8,22.08,66.28,6.86,37.01,313.54,0.23,68.27,,,,,,
,,,15.58,16.77,1.32,0.8,22.15,66.28,7.01,37,313.95,0.24,68.27,,,,,,
,,,15.6,15.85,1.34,0.84,22.22,66.29,7.21,37,314.35,0.24,68.28,,,,,,
,,,15.62,17.39,1.37,0.9,22.28,66.32,7.53,37,314.76,0.24,68.31,,,,,,
,,,15.63,16.35,1.37,0.9,22.35,66.39,6.68,37,315.16,0.24,68.38,,,,,,
,,,15.65,17.82,1.37,0.9,22.41,66.39,6.83,37.01,315.57,0.24,68.38,,,,,,
,,,15.67,17.54,1.37,0.9,22.48,66.39,7.05,37.01,315.98,0.24,68.38,,,,,,
,,,15.68,17.77,1.37,0.9,22.55,66.39,7.04,37,316.38,0.24,68.38,,,,,,
,,,15.7,18.75,1.37,0.9,22.61,66.39,7.31,37,316.79,0.24,68.38,,,,,,
,,,15.72,18.1,1.37,0.9,22.68,66.39,6.88,37,317.2,0.24,68.38,,,,,,
,,,15.73,19.09,1.37,0.9,22.74,66.39,6.26,37,317.6,0.24,68.38,,,,,,
,,,15.75,18.49,1.37,0.9,22.81,66.39,7.38,37,318.01,0.24,68.38,,,,,,
,,,15.77,18.68,1.37,0.9,22.88,66.39,6.81,37,318.41,0.24,68.38,,,,,,
,,,15.78,18.18,1.37,0.9,22.94,66.39,6.7,36.99,318.82,0.24,68.38,,,,,,
,,,15.8,18.2,1.37,0.9,23.01,66.39,7.03,37,319.23,0.24,68.38,,,,,,
,,,15.82,18.27,1.37,0.9,23.07,66.39,6.49,37.01,319.63,0.24,68.38,,,,,,
,,,15.83,18.97,1.37,0.9,23.14,66.39,7.26,36.99,320.04,0.24,68.38,,,,,,
,,,15.85,19.02,1.37,0.9,23.21,66.39,6.68,37.01,320.45,0.25,68.38,,,,,,
,,,15.87,18.24,1.37,0.9,23.27,66.4,6.76,37,320.85,0.25,68.39,,,,,,
,,,15.88,17.82,1.37,0.9,23.34,66.4,6.82,37,321.26,0.25,68.39,,,,,,
,,,15.9,19.7,1.37,0.9,23.4,66.4,6.93,37,321.66,0.25,68.39,,,,,,
,,,15.92,18.6,1.37,0.9,23.47,66.4,7.48,37,322.07,0.25,68.39,,,,,,
,,,15.93,18.46,1.37,0.9,23.54,66.4,7.16,37,322.48,0.25,68.39,,,,,,
,,,15.95,18.7,1.37,0.9,23.6,66.4,6.97,36.99,322.88,0.25,68.39,,,,,,
,,,15.97,19.27,1.37,0.9,23.67,66.4,6.65,36.99,323.29,0.25,68.39,,,,,,
,,,15.98,18.5,1.39,0.94,23.73,66.4,6.7,36.99,323.7,0.25,68.39,,,,,,
,,,16,19.03,1.42,1,23.8,66.43,6.91,37.01,324.1,0.25,68.42,,,,,,
,,,16.02,17.67,1.42,1,24,66.5,7.42,37,324.51,0.25,68.5,,,,,,
,,,16.03,18.34,1.42,1,24.2,66.5,6.55,37.02,324.91,0.25,68.5,,,,,,
,,,16.05,18.23,1.42,1,24.4,66.5,6.89,37.01,325.32,0.25,68.5,,,,,,
,,,16.07,17.71,1.42,1,24.59,66.5,7.19,37.01,325.73,0.25,68.5,,,,,,
,,,16.08,19.12,1.42,1,24.79,66.5,7.54,37.01,326.13,0.25,68.5,,,,,,
,,,16.1,18.36,1.42,1,24.99,66.5,6.33,36.99,326.54,0.25,68.5,,,,,,
,,,16.12,18.63,1.42,1,25.19,66.5,7.52,37,326.95,0.26,68.5,,,,,,
,,,16.13,18.82,1.42,1,25.39,66.51,6.66,37,327.35,0.26,68.51,,,,,,
,,,16.15,19.36,1.42,1,25.59,66.51,6.59,37,327.76,0.26,68.51,,,,,,
,,,16.17,20.8,1.42,1,25.78,66.51,6.64,37,328.16,0.26,68.51,,,,,,
,,,16.18,20.27,1.42,1,25.98,66.51,7.49,36.99,328.57,0.26,68.51,,,,,,
,,,16.2,20.65,1.42,1,26.18,66.51,6.66,36.99,328.98,0.26,68.51,,,,,,
,,,16.22,19.21,1.42,1,26.38,66.51,7.39,37,329.38,0.26,68.51,,,,,,
,,,16.23,19.69,1.42,1,26.58,66.51,6.76,37,329.79,0.26,68.51,,,,,,
,,,16.25,19.6,1.42,1,26.78,66.51,6.92,37,330.2,0.26,68.51,,,,,,
,,,16.27,19.38,1.42,1,26.97,66.51,7.12,37,330.6,0.26,68.51,,,,,,
,,,16.28,19.89,1.42,1,27.17,66.51,7.19,37.01,331.01,0.26,68.51,,,,,,
,,,16.3,19.12,1.42,1,27.37,66.51,7.06,37.01,331.41,0.26,68.51,,,,,,
,,,16.32,20.74,1.42,1,27.57,66.51,7.15,37,331.82,0.26,68.51,,,,,,
,,,16.33,20.7,1.42,1,27.77,66.51,6.66,36.99,332.23,0.26,68.51,,,,,,
,,,16.35,20.4,1.45,1.05,27.97,66.51,6.6,36.99,332.63,0.26,68.51,,,,,,
,,,16.37,19.1,1.47,1.1,28.16,66.56,7.45,36.99,333.04,0.26,68.56,,,,,,
,,,16.38,20.96,1.47,1.1,28.36,66.61,6.49,36.99,333.45,0.27,68.61,,,,,,
,,,16.4,20.65,1.47,1.1,28.56,66.62,7.54,36.99,333.85,0.27,68.62,,,,,,
,,,16.42,19.97,1.47,1.1,28.76,66.62,6.83,37,334.26,0.27,68.62,,,,,,
,,,16.43,19.72,1.47,1.1,28.96,66.62,7.14,37,334.66,0.27,68.62,,,,,,
,,,16.45,20.69,1.47,1.1,29.16,66.62,6.69,37,335.07,0.27,68.62,,,,,,
,,,16.47,19.33,1.47,1.1,29.35,66.62,6.57,37,335.48,0.27,68.62,,,,,,
,,,16.48,20.54,1.47,1.1,29.55,66.62,7.04,37,335.88,0.27,68.62,,,,,,
,,,16.5,21.11,1.47,1.1,29.75,66.62,7.49,37.01,336.29,0.27,68.62,,,,,,
,,,16.52,20.27,1.47,1.1,29.95,66.62,7,37.01,336.7,0.27,68.62,,,,,,
,,,16.53,18.43,1.47,1.1,30.15,66.62,7.71,37,337.1,0.27,68.62,,,,,,
,,,16.55,17.83,1.47,1.1,30.35,66.62,7.62,37,337.51,0.27,68.62,,,,,,
,,,16.57,18.38,1.47,1.1,30.54,66.62,6.88,37.01,337.91,0.27,68.62,,,,,,
,,,16.58,18.68,1.47,1.1,30.74,66.62,6.74,37.01,338.32,0.27,68.62,,,,,,
,,,16.6,18.2,1.47,1.1,30.94,66.62,7.61,37.01,338.73,0.27,68.62,,,,,,
,,,16.62,19.05,1.47,1.1,31.14,66.62,6.67,37,339.13,0.27,68.62,,,,,,
,,,16.63,19.7,1.47,1.1,31.34,66.62,7.07,37,339.54,0.27,68.62,,,,,,
,,,16.65,17.69,1.47,1.1,31.54,66.62,5.84,37,339.95,0.28,68.62,,,,,,
,,,16.67,19.24,1.47,1.1,31.73,66.63,7.3,37.01,340.35,0.28,68.63,,,,,,
,,,16.68,20.35,1.47,1.1,31.93,66.63,7.15,37,340.76,0.28,68.63,,,,,,
,,,16.7,18.98,1.47,1.1,32.13,66.63,6.27,37,341.16,0.28,68.63,,,,,,
,,,16.72,20.22,1.47,1.1,32.33,66.63,7.08,37,341.57,0.28,68.63,,,,,,
,,,16.73,20.52,1.52,1.19,32.53,66.63,7.3,37.01,341.98,0.28,68.63,,,,,,
,,,16.75,19.86,1.52,1.2,32.73,66.72,8.15,36.99,342.38,0.28,68.72,,,,,,
,,,16.77,19.22,1.52,1.2,32.92,66.73,6.22,36.99,342.79,0.28,68.73,,,,,,
,,,16.78,18.64,1.52,1.2,33.12,66.73,6.6,36.99,343.2,0.28,68.73,,,,,,
,,,16.8,19.98,1.52,1.2,33.32,66.73,6.26,36.99,343.6,0.28,68.73,,,,,,
,,,16.82,21.21,1.52,1.2,33.52,66.73,7.71,36.99,344.01,0.28,68.73,,,,,,
,,,16.83,18.28,1.52,1.2,33.72,66.73,6.77,37,344.41,0.28,68.73,,,,,,
,,,16.85,20.61,1.52,1.2,33.92,66.73,6.49,36.99,344.82,0.28,68.73,,,,,,
,,,16.87,21.88,1.52,1.2,34.11,66.73,7.46,37,345.23,0.28,68.73,,,,,,
,,,16.88,20.71,1.52,1.2,34.31,66.73,7.19,37,345.63,0.28,68.73,,,,,,
,,,16.9,19.19,1.52,1.2,34.51,66.73,6.54,37.01,346.04,0.28,68.73,,,,,,
,,,16.92,22.44,1.52,1.2,34.71,66.73,6.57,37,346.45,0.29,68.73,,,,,,
,,,16.93,18.86,1.52,1.2,34.91,66.74,6.37,37,346.85,0.29,68.74,,,,,,
,,,16.95,20.39,1.52,1.2,35.11,66.74,6.79,37.01,347.26,0.29,68.74,,,,,,
,,,16.97,20.4,1.52,1.2,35.3,66.74,7.11,36.99,347.66,0.29,68.74,,,,,,
,,,16.98,22.65,1.52,1.2,35.5,66.74,7.48,36.99,348.07,0.29,68.74,,,,,,
,,,17,21.53,1.52,1.2,35.7,66.74,7.61,37,348.48,0.29,68.74,,,,,,
,,,17.02,19.7,1.52,1.2,35.9,66.74,6.79,37,348.88,0.29,68.74,,,,,,
,,,17.03,19.33,1.52,1.2,36.1,66.74,6.69,36.99,349.29,0.29,68.74,,,,,,
,,,17.05,19.67,1.52,1.2,36.3,66.74,6.34,37,349.7,0.29,68.74,,,,,,
,,,17.07,20.66,1.54,1.23,36.49,66.74,6.78,37.01,350.1,0.29,68.74,,,,,,
,,,17.08,20.76,1.57,1.3,36.69,66.78,6.57,37,350.51,0.29,68.78,,,,,,
,,,17.1,19.65,1.57,1.3,36.89,66.84,6.5,37,350.91,0.29,68.85,,,,,,
,,,17.12,20.26,1.57,1.3,37.09,66.84,7.36,36.99,351.32,0.29,68.85,,,,,,
,,,17.13,20.58,1.57,1.3,37.29,66.84,6.77,36.99,351.73,0.29,68.85,,,,,,
,,,17.15,20.37,1.57,1.3,37.49,66.84,7.14,36.99,352.13,0.29,68.85,,,,,,
,,,17.17,21,1.57,1.3,37.68,66.84,7.19,36.99,352.54,0.29,68.85,,,,,,
